Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP per capita (current US$),NY.GDP.PCAP.CD,Euro area,EMU,933.7853967,1030.44717,1129.796048,1232.715346,1353.949493,1466.964948,1573.963499,1660.464741,1772.947116,1967.087496,2215.089405,2496.499911,2995.429724,3864.162812,4357.872598,5027.825885,5224.273465,5918.479236,7217.139167,8705.658826,9707.000907,8402.621672,8111.796062,7897.284333,7562.582688,7754.821423,10856.85054,13392.07928,14680.48873,14933.0434,18709.48898,19313.32481,21181.90633,19312.01341,20337.15101,23425.26279,23649.87104,21578.28474,22146.99706,21983.63535,20005.43676,20251.30494,22002.83167,26945.25764,30728.99583,31669.9874,33508.19145,38396.27135,42016.49574,38273.06829,37303.41067,40329.42363,37290.79976,38806.36921,39594.59529,34118.36594,34889.67172,36878.93706,39754.43547,38904.60706,37915.38336,42527.52421,40835.65476,44368.57554
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia,ECS,640.0006493,696.254878,752.6831121,813.7695688,889.2536621,959.1559223,1027.446806,1081.379014,1128.89773,1241.174413,1384.314136,1550.524295,1844.23812,2327.944055,2611.308907,3028.846061,3127.100839,3512.452004,4276.983432,5179.294115,5815.715522,5147.001291,4931.783181,4755.142246,4542.972096,4672.320219,6331.274799,7769.463994,8594.208477,8658.156733,10531.54756,10795.3207,11517.30473,10554.09323,11008.08756,12688.08992,12924.9437,12237.11564,12537.12719,12385.74849,11665.09942,11768.20043,12862.85994,15595.85004,18124.80411,19222.08009,20747.00271,24164.33415,26486.9776,23198.98293,23638.55331,26149.05847,25096.18354,26096.91821,26341.07777,22579.1837,22398.1499,23670.81271,25255.06472,24867.47201,23994.92867,27409.92277,27567.4144,29483.44145
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1171.612028,1275.404111,1424.538086,1690.133092,1608.549604,1544.362395,1625.7504,1291.792282,1444.134518,1523.504554,1609.744521,1953.99102,1777.711796,1806.71402,1541.930879,1786.103603,2267.100003,2906.977413,3602.233846,4167.687129,5222.838424,6206.964951,5133.423164,6022.630098,6785.422424,7100.35951,7678.785031,7307.046191,6312.150342,6006.367089,6111.394337,5957.826424,6022.632386,5738.254992,6620.203796,7302.238611,8479.056831
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2335.51607,2250.447443,2375.170555,2319.934306,2141.371643,2127.569289,1920.7537,2124.123809,2182.01107,2247.70836,2171.399684,1883.030665,2051.992282,2088.218421,2349.873317,2890.506295,3737.551049,4677.702774,5650.595106,7262.578753,8966.072887,7082.535823,8283.738117,10028.33393,10423.44583,10971.18094,10313.11527,8014.504151,7662.532909,8554.011097,8883.501511,9022.695898,8437.728506,9985.477093,11413.91501,11952.68806
GDP per capita (current US$),NY.GDP.PCAP.CD,European Union,EUU,798.6422356,880.3474638,964.8015972,1050.98591,1155.582987,1253.798868,1346.521499,1422.673344,1515.938632,1679.979953,1888.62756,2123.199393,2544.141103,3270.913481,3680.698687,4261.362156,4440.661239,5004.794408,6067.32865,7299.101552,8129.462776,7066.951758,6795.426605,6589.860732,6335.172466,6499.687061,9050.256755,11154.01645,12205.89009,12426.20874,15488.30246,15966.13336,17476.75662,15909.64629,16820.37635,19464.69964,19750.41989,18088.77088,18615.8962,18482.54013,16947.75488,17198.04045,18759.69973,22967.93526,26307.19787,27341.73165,29089.71026,33587.35664,37044.0545,33480.80398,32965.77499,35767.33907,33169.40568,34564.94045,35282.51646,30487.65237,31174.75351,33091.38903,35752.58734,35080.9148,34357.11999,38720.87517,37466.69635,40823.87626
GDP per capita (current US$),NY.GDP.PCAP.CD,Fragile and conflict affected situations,FCS,125.4343038,130.5958325,139.2043699,145.4701546,143.2343358,149.4140769,154.8723165,154.7958209,166.4727657,179.7364877,214.4787957,213.4524653,242.9324164,292.732011,439.8355728,472.2724272,557.1940498,593.9121322,629.4366336,790.5919865,994.3751755,1304.939501,1212.995321,1026.512003,909.0513838,905.5258649,811.2975294,798.9903499,845.5855623,812.4747856,1139.255781,782.5166088,681.6198842,675.4278597,660.8496555,786.9428241,831.385223,911.1877981,914.940539,667.7585214,763.8269307,731.0106333,696.1910101,715.0480541,885.5309297,1093.610961,1337.515578,1601.443833,1998.949799,1767.140927,2046.887007,2086.156218,2277.69164,2311.345853,2396.435887,1845.312304,1663.085171,1690.944042,1852.26631,1923.170689,1725.72176,1792.920664,1913.374228,1828.708359
GDP per capita (current US$),NY.GDP.PCAP.CD,Heavily indebted poor countries (HIPC),HPC,118.4076348,122.2433897,126.5047231,131.9582333,140.4885616,148.1874974,155.7173739,156.2956454,162.2864302,169.3793892,158.7043215,164.7718593,178.9157793,211.7740259,240.1132749,266.4777499,283.4625267,314.2853301,357.6265717,393.2345985,428.0356835,427.5350031,420.2350613,414.6714832,423.4878674,438.7911489,386.5935747,402.0522177,412.6960229,415.1458722,468.2710973,496.6188156,363.2163945,364.1475313,301.9887454,341.6410048,361.9767972,368.6912749,370.8754707,362.8051958,381.7520747,357.8043726,377.025503,415.2224922,465.1838684,518.0122093,590.4667571,685.4545998,792.1617003,764.0568703,806.8135579,869.2272511,874.7117298,955.1945963,982.6315078,917.7214597,901.3248931,940.7673999,977.2792262,985.5908764,968.1333675,1047.734015,1110.130433,1245.019656
GDP per capita (current US$),NY.GDP.PCAP.CD,High income,HIC,1203.510267,1268.155853,1354.642905,1439.582035,1554.743621,1670.584676,1809.533787,1914.470547,2056.944487,2245.627123,2441.674489,2683.14346,3087.01709,3710.506484,4157.890646,4599.586111,4968.016223,5577.607193,6642.261982,7612.997993,8429.701213,8493.64466,8348.986935,8566.491016,8871.488316,9248.154002,11159.33983,12850.84685,14364.92171,14855.73024,16531.82332,17318.71607,18408.53144,18413.15661,19571.40438,21591.40183,21642.35618,21171.22386,21031.03968,21907.66775,22305.77444,22022.02234,22873.37056,25549.83777,28397.33509,29983.3581,31620.6407,34554.07644,36768.49887,33960.36253,35574.87298,38570.65785,38510.70702,38847.08672,39280.62245,36482.99653,36993.53327,38707.93154,40958.37065,41188.77046,40023.7383,44840.3585,46165.61504,48220.03316
GDP per capita (current US$),NY.GDP.PCAP.CD,IBRD only,IBD,171.545706,167.2519429,166.8254015,179.979848,199.6370606,214.0696791,211.6926881,215.5622802,222.551977,241.9413576,257.4849816,272.9822396,300.659298,371.1527886,453.241449,488.9828217,517.4578689,577.0436553,608.497341,727.2622412,867.3051826,914.4760657,870.2219314,878.2630368,895.2951828,905.3346257,904.3903626,904.9910046,946.595282,935.1069459,1030.882088,982.0982174,1016.16666,1086.613701,1181.106776,1319.459648,1420.842796,1486.564692,1427.506442,1372.911883,1475.929268,1478.966908,1484.086563,1648.564485,1942.24365,2295.247683,2693.979791,3312.288963,3933.928423,3775.9654,4545.565053,5326.060998,5601.060783,5844.933202,5978.090348,5541.337594,5528.045431,6048.219173,6378.538854,6465.813281,6185.51926,7301.908086,7681.295257,7845.385362
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA & IBRD total,IBT,160.7608051,158.4685673,159.0895717,170.1229081,186.8959586,200.2651298,199.8813093,203.2634435,209.6206518,227.7186878,243.5104304,254.7136431,278.0663737,338.4401675,416.3581855,454.0289635,477.9348382,527.7368455,559.9546351,663.6349016,789.0571303,874.1058097,827.0153764,808.5491542,811.9480232,820.4238527,804.7799004,805.3797298,840.5054901,829.7030214,911.6196193,876.2182289,890.4525039,947.0735559,1021.430941,1145.244542,1236.254695,1288.898093,1242.62634,1165.167476,1254.447975,1250.869985,1257.501473,1393.155401,1634.062693,1920.8291,2248.771419,2743.943848,3247.146522,3108.727917,3715.33075,4324.922372,4532.365651,4727.632625,4837.151957,4484.489384,4456.760202,4837.063021,5088.012772,5144.372439,4907.286992,5731.306185,6006.273097,6094.023893
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA blend,IDB,101.8425991,106.4234298,111.0476531,114.6620623,122.0215851,129.1153304,136.8339185,133.9943515,137.7487033,153.5533015,205.2182413,185.9845402,203.3882219,211.6427417,296.2822691,331.0740537,387.281369,396.5221303,418.44463,497.8450043,616.7260318,1141.113725,1008.295138,743.0929426,619.8568994,603.4700948,528.2001305,524.6831813,536.3682082,512.0485361,517.8677573,541.0885848,509.9013053,529.3267203,573.1800277,783.7194353,923.8761901,944.8791249,963.390692,507.3014172,609.3777413,591.7871163,633.8156043,698.7567958,827.6789486,956.8611089,1158.286971,1311.209666,1499.314963,1364.274696,1561.884873,1742.647351,1893.552442,2015.460911,2142.382035,1993.789362,1826.226947,1760.542495,1884.9974,1883.546211,1727.911703,1851.471016,1942.51277,1676.989584
